LR_main_field,type,threshold,measure,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100
Biomedical and health sciences,citations,70,perc_intext_citations1,0.138279728,0.142547572,0.075216424,0.035202628,0.022060503,0.018282437,0.017619425,0.017090275,0.019024191,0.021476233,0.026542526,0.033336431,0.044519442,0.057208011,0.066173634,0.06799416,0.067409891,0.061233328,0.049461322,0.019321838
Life and earth sciences,citations,70,perc_intext_citations1,0.205793564,0.133524267,0.079713873,0.043369775,0.028389558,0.021013282,0.018167496,0.017958046,0.01894155,0.020362166,0.023604085,0.028330366,0.033780615,0.043324242,0.050149574,0.054698278,0.0594109,0.05498058,0.046584374,0.017903407
Mathematics and computer science,citations,70,perc_intext_citations1,0.140428951,0.112862352,0.073861178,0.062426602,0.052784474,0.044378515,0.04042277,0.034798195,0.034241919,0.030286173,0.030780642,0.030347982,0.03084245,0.03294394,0.038197664,0.036405217,0.043822239,0.050188516,0.045120218,0.034860004
Physical sciences and engineering,citations,70,perc_intext_citations1,0.164663088,0.16530259,0.103945554,0.056534366,0.034104843,0.025216345,0.023737863,0.025445158,0.026718296,0.029798469,0.028818681,0.032250873,0.034192848,0.037613306,0.038246942,0.041016164,0.042207164,0.04059374,0.033254129,0.016339582
Social sciences and humanities,citations,70,perc_intext_citations1,0.170761481,0.11560426,0.09074773,0.071952742,0.056048212,0.044745962,0.034902973,0.029248341,0.026799871,0.023446379,0.021811727,0.021096129,0.022814969,0.027859238,0.033548948,0.041715192,0.046584069,0.047559247,0.043932144,0.028820385
All,citations,70,perc_intext_citations2,0.006086196,0.006111911,0.005182679,0.004216367,0.00362728,0.003338167,0.003215788,0.003265658,0.003539447,0.00386245,0.004412502,0.005036081,0.005716356,0.006457351,0.006765376,0.006867815,0.006993312,0.006785774,0.006680501,0.006192649
Biomedical and health sciences,citations,70,perc_intext_citations2,0.007869719,0.009129024,0.007493779,0.005328324,0.004156615,0.003779852,0.003807028,0.0038435,0.004440654,0.00513098,0.006148997,0.006967519,0.007886625,0.008528948,0.008699544,0.008471405,0.008467601,0.008149611,0.007684835,0.006615382
Life and earth sciences,citations,70,perc_intext_citations2,0.008646481,0.006235925,0.005178622,0.00409271,0.003427647,0.002852384,0.002634766,0.002744979,0.003048722,0.003406667,0.00395162,0.004472311,0.004769567,0.005385348,0.005637722,0.00584946,0.006275165,0.005931568,0.006042773,0.005878967
Mathematics and computer science,citations,70,perc_intext_citations2,0.00133775,0.001239876,0.001068029,0.001166019,0.001251627,0.001303809,0.001418969,0.001406227,0.001557733,0.001498269,0.001610077,0.001665977,0.001735851,0.001885224,0.002217788,0.002121024,0.002526584,0.00280141,0.002571455,0.002329933
Physical sciences and engineering,citations,70,perc_intext_citations2,0.00244299,0.002839,0.002678714,0.002283992,0.001925402,0.001703405,0.001721892,0.001897292,0.002014622,0.002275684,0.002229147,0.002532182,0.002717899,0.002998765,0.003059473,0.00329449,0.003416646,0.003416996,0.003574399,0.003743581
Social sciences and humanities,citations,70,perc_intext_citations2,0.014197644,0.011517431,0.009798478,0.008777087,0.008064036,0.007603448,0.006909549,0.006604838,0.006708651,0.006522032,0.00662589,0.006911103,0.007731977,0.009224351,0.0102532,0.011481313,0.011967543,0.012216968,0.012403193,0.011736271
All,citances,80,n_citances,0.014318174,0.010545911,0.00647604,0.004063027,0.002942071,0.002432092,0.002271571,0.002225115,0.00231139,0.002433337,0.002760395,0.003250463,0.003922415,0.00478102,0.005500258,0.005922924,0.006087593,0.005798696,0.004659488,0.001791249
Biomedical and health sciences,citances,80,n_citances,0.019136039,0.014896789,0.008049462,0.004371208,0.003030207,0.002654367,0.002601169,0.002623277,0.00278218,0.003105513,0.003742506,0.004778828,0.006126738,0.00773442,0.009040877,0.009634344,0.009680633,0.009075421,0.007177569,0.002348307
Life and earth sciences,citances,80,n_citances,0.020744792,0.012945257,0.007963199,0.004709286,0.003319026,0.002636215,0.00228073,0.002363442,0.002604538,0.00278052,0.003172961,0.003725545,0.004593138,0.005707106,0.00665917,0.007169518,0.007715064,0.007380697,0.005993957,0.002057233
Mathematics and computer science,citances,80,n_citances,0.002707364,0.002104322,0.001446458,0.001151262,0.000885586,0.00072112,0.00064943,0.000560871,0.000518701,0.000350018,0.000392188,0.000430142,0.000350018,0.000506049,0.000581957,0.000611476,0.000767508,0.00085185,0.000729555,0.000501832
Physical sciences and engineering,citances,80,n_citances,0.005201708,0.004581725,0.002981092,0.001721554,0.001144208,0.000854836,0.000873009,0.000967369,0.001093183,0.001172167,0.001221094,0.001374867,0.001425192,0.001526543,0.001643969,0.001746018,0.001814517,0.001701983,0.001302174,0.000541
Social sciences and humanities,citances,80,n_citances,0.039365441,0.025550905,0.021193461,0.017530335,0.014135359,0.011104301,0.009787491,0.0078434,0.00721612,0.006612781,0.006339842,0.006253651,0.006660665,0.007852977,0.009193729,0.011228799,0.012650954,0.012516879,0.011501738,0.007115563
